userName,password,firstName,infix,lastName,role
eijsico,*=<:_fB(H^,Coenraad,,Eijsink,Student
bakenma,I\Pf=8L__G,Maria,,Baken,Student
elzenra,Q6i]+!Qe+=,Rajni,,Elzenga,Student
marthru,8#!3?cZG41,Ruth,,Martha,Student
muntsau,-((gmkSjl,Augustijn,,Muntslag,Student
merteul,9usoN>hSJ,Ulrike,,Mertens,Student
varwita,NG5\OBa$t,Taner,,Varwijk,Student
gerrige,a'3_IQkD73,Geke,,Gerritsma,Student
elingan,#puOxJ?^jV,Anniko,,Elings,Student
vogelme,FTXzvjhaCA,Mex,,Vogelzang,Student
havelfe,n$sGwnt6C,Fennetje,,Havelaar,Student
jonkevi,0bqjQ.i3dU,Vivianne,,Jonkers,Student
kooygu,XC3`0v@@O7,Guillaume,,Kooy,Student
vreekwo,-PTw!6VF3,Wouterus,,Vreeke,Functioneel Beheerder
marenan,pdq1[SaTLs,Andrei,van,Maren,Student
vinkma,SQzt4mUmSy,Master,,Vink,Student
knoefre,wT*Hd_/VMr,Reinie,,Knoef,Student
pietemi,i8R$w_LcRf,Milan,,Pieters,Student
zwaanca,2=n_Y+7Y,Calvin,van der,Zwaan,Student
bongasa,A8`(B&Nvt_,Saïda,,Bongaerts,Student
drentai,2:Zwn<7(<,Aiden,,Drent,Student
buschde,Odn*R=A]P[,Demi,,Buschman,Student
kanky,TpJ<0'!*z',Kylie,,Kan,Student
houteli,\HvrCA:OB,Liedeke,,Houtepen,Student
linnesa,G2n>47vXty,Sanjana,,Linnenbank,Student
knippni,G.m+yjkT6e,Nimo,,Knippenberg,Student
boerhfa,:9Y=u.(QD,Faas,,Boerhof,Student
tilli,aZ9&6=gLI,Lizet,van,Til,Coordinator
voorbap,/Ql[yE5Ka#,April,,Voorbraak,Student
thoolko,Ens9Zl/eM*,Koen,,Thoolen,Student
schaaki,bR865aQC7,Kimo,,Schaareman,Student
gubbeke,On1yj8k&(g,Keziah,,Gubbels,Docent
ruiscan,tj9Y3&``l,Angenita,,Ruisch,Student
litjeda,^SC)%%Xu)X,Dali,,Litjens,Student
mantero,>7pDfM.]ZV,Roanne,,Mantel,Student
liebrhe,z?/>/DvCe,Henri,,Liebregts,Student
simonma,iCT1@2VG62,Mana,,Simonis,Docent
vechtma,V5Ch2b$:e5,Manouck,van der,Vecht,Student
bruggdj,K0V:!A.(2h,Djura,,Bruggeling,Coordinator
doessh,hQwC!Qxxt,Shane,van der,Does,Student
luikca,BB@OMolWxK,Catelijne,,Luik,Student
hessema,#Uae_OBWs/,Mazlum,,Hesselink,Student
leutsab,[XnE/QWQ%A,Abdirahman,,Leutscher,Student
verhema,A@]NG3>2w2,Mathé,,Verheijden,Student
vroegel,yO#./(5p,Elsa,,Vroegh,Student
hovendo,0Zc_s3'utE,Dogan,ten,Hoven,Docent
alberiw,S&g?5ZebCX,Iwan,,Alberto,Student
ossewja,<DeztOIX$*,Jaïro,,Ossewaarde,Administrator
ariëndo,<gv5N+Do9n,Dolores,,Ariëns,Student
tiehuwi,j5n'lz3fF,Wijnanda,,Tiehuis,Docent
maarssh,mzJwrpQW?Z,Shaima,van,Maarseveen,Student
bulkje,78:p6cDaEk,Jesse,van den,Bulk,Student
kaaja,xKjl6nT/#e,Jaromir,van der,Kaa,Student
koopala,flyV-I(X,Laïla,,Koopal,Coordinator
brandwa,QF8LBFTYS!,Warner,van den,Brand,Student
hovelro,.*dv4cM<R,Romaissa,,Hoveling,Student
slappma,n44z:rc/f8,Manasse,,Slappendel,Student
holmaam,lsM3\Vex+,Amra,,Holman,Student
vinkede,ajR4D?fgFr,Dewy,,Vinken,Student
mooiwde,Bb%b<=@Ml[,Deniz,,Mooiweer,Student
louweya,u<8.Uen0b:,Yalda,,Louwes,Student
zeegege,!P.>=Ei-Q*,Geurtje,,Zeegers,Student
brandlo,tZte)9dLc4,Lonne,,Brands,Student
langeka,3'x'U3d`z,Kazimir,van de,Langenberg,Student
bekkeka,qCjkh/x0+\,Kaitlin,,Bekkering,Docent
roestol,qV.gbt#q\F,Olivier,,Roest,Student
verdaiz,)XSF@b<W+J,Izaak,,Verdaasdonk,Coordinator
karelro,)#x!2#[>!,Roelf,,Karels,Student
remmeja,Qdw0B6*:lZ,Jai,,Remmelzwaal,Student
keusje,g3DE(BrKn,Jessey,,Keus,Docent
baltesa,6hs.8p`PI3,Sascha,,Baltes,Student
nelisre,v[TM)kRt3,Remco,,Nelis,Student
knapesi,NvbK<]x=79,Siert,,Knape,Student
koppeni,Gj5Hf_h1f,Nikay,,Koppelman,Student
schoema,8%6\'p-1k,Marko,,Schoen,Student
rorijfe,R_yHvu]5yQ,Ferrie,,Rorije,Student
spierch,'Gb7?7RGIv,Chris,,Spierenburg,Student
zuijdre,`s<I$PF>L,Reduan,,Zuijderduijn,Student
mekkisa,&ldB?g]k%,Sake,,Mekking,Student
nijdaar,%-^mw)lt5,Arsenio,,Nijdam,Functioneel Beheerder
remmets,O8c6E*ql0T,Tsjerk,van,Remmerden,Student
schipch,ro\V^1#z-,Chantal,,Schiphorst,Student
jolinro,fvyf0OOEct,Romello,,Joling,Student
hellead,(QDTR&K=9d,Adrie,,Helleman,Student
stuitti,w/+XzUdG,Timotheüs,,Stuit,Student
katme,9IuiBF!Wr,Mervyn,,Kat,Student
wardtbr,4Q\>1Ri+@Q,Brit,van der,Wardt,Student
noordro,EmKl7<TB`9,Romain,,Noordanus,Student
adriaja,GBJX]v^HvE,Jamy,,Adriaansen,Student
broekda,<C3Y5^X/t,Darrel,van,Broekhoven,Docent
zweerwa,t_^zxb57\J,Wassim,,Zweers,Docent
kimenyo,&a>C-Y2*o,Yordi,,Kimenai,Student
jonasku,[Qs08jZOd9,Kubilay,,Jonas,Student
harteyi,1k13@iVW_2,Yinthe,,Hartevelt,Docent
gijbene,<(k\S1CNof,Nelis,,Gijbels,Student
zouwefl,pEK_!/IAi,Florina,van der,Zouwen,Student
matthsi,A4DqKg`SQ,Sidar,,Matthijsse,Student
haakza,]9%1TVh1wF,Zafer,van den,Haak,Student
kraaili,F5LL9B^b-e,Liza,,Kraaij,Student
boskman,C_FxMkfaR5,Anthonie,,Boskma,Student
arasre,pa\=M[Wyi,Reintje,,Aras,Student
schuiil,xc':Gc5]&M,Ilias,,Schuijt,Student
bukkeye,%5dGX&SQM`,Yentle,,Bukkems,Student
fritzda,!6'$0yIn84,Davinia,,Fritz,Student
wijnhfa,rcn!5/=^@#,Farhad,,Wijnhoven,Student
paschan,A(O\'l3ptM,Anastasia,van der,Pasch,Student
haagseg,Tgq+:]&O=.,Egberdina,,Haagsma,Student
aanhodo,[LOGcWrxY.,Dorianne,van,Aanholt,Student
leijtde,sE$DB4:9-,Demy,,Leijtens,Coordinator
stratsh,U@bh-+sjlP,Sharan,van,Straten,Student
pepermo,=CWvY%go2B,Morrison,,Pepers,Student
klopsji,`<SB#R9B9J,Jinke,,Klopstra,Student
kaagmra,2.r+&w4d/^,Raphael,,Kaagman,Docent
hoogech,jvmj_O1+zq,Cherida,,Hoogendijk,Student
gilsiel,'Fq:iIqYPn,Elja,,Gilsing,Coordinator
pluijdj,RxVgvG>mr.,Djayden,,Pluijmen,Student
brackha,2Qm4&G5xq,Harmke,,Bracke,Student
rosenla,Za9!%K)+-,Laurenz,,Rosendahl,Student
worpor,y67>9?Fv\z,Oriana,van der,Worp,Student
giezeli,-q)n[@9pBE,Lissa,,Giezen,Docent
tonkemi,V12hBGi:ht,Michelangelo,,Tonkes,Docent
werddo,I@#RcZEU)I,Dorothée,de,Werd,Student
strikji,prk%C[!.Sb,Jikke,,Strikwerda,Student
blanksa,+KNfR5:`F8,Safiya,den,Blanken,Student
messero,>9]$R&ri6=,Rosalin,,Messemaker,Student
entjese,8+IFL7I-(,Sevde,,Entjes,Student
mosseaa,0IgkDNCyI2,Aart,,Mosselman,Student
burgmsy,3u25H25?m,Syreeta,,Burgmans,Student
ypmaze,YR6g5a!&R?,Zev,,Ypma,Docent
snijdla,n&E\j3Pi(\,Larry,,Snijder,Student
bloemca,IXkM[ijWLS,Cassandra,,Bloemers,Student
oostlna,%UU_XtE1Q0,Naoual,,Oostland,Student
bravemi,i5Y7%cM!2P,Mirna,,Bravenboer,Student
buskelu,.ofHk_:Ma,Lucy,,Buskermolen,Docent
